activeaddresses,difficulty,difficulty30mom,difficulty30rsi,difficulty90mom,hashrate90var,median_transaction_fee30trxUSD,median_transaction_feeUSD,mining_profitability,mining_profitability90rsi,price30smaUSD,price30wmaUSD,price3emaUSD,price3wmaUSD,price7smaUSD,price90wmaUSD,sentinusd90emaUSD,sentinusd90smaUSD,size90trx,transactionvalueUSD,priceUSD
651284,2874674234416.0,943537779928.0,99.215,1451307021277.0,1.5553739271295e+37,-0.8590000000000001,2.377,0.677,46.88399999999999,11095.0,10049.0,8015.0,7915.0,8202.0,12487.0,23856048952,28729308993,0.037000000000000005,55780.0,9252.0
689413,2874674234416.0,943537779928.0,99.215,1510252153291.0,1.4955761832688e+37,-0.9570000000000001,2.405,0.8029999999999999,47.282,10895.0,9868.0,8158.0,8224.0,8138.0,12401.0,23540146887,28713588505,0.037000000000000005,53355.0,9065.0
593126,2874674234416.0,943537779928.0,99.215,1510252153291.0,1.3967240857083e+37,-1.051,2.2880000000000003,0.858,47.456,10722.0,9726.0,8424.0,8488.0,8080.0,12324.0,23316199020,28720141023,0.037000000000000005,73500.0,9457.0
730277,2874674234416.0,943537779928.0,99.215,1510252153291.0,1.4010171687003e+37,-1.1420000000000001,2.059,0.7040000000000001,47.016999999999996,10535.0,9566.0,8329.0,8397.0,7996.0,12236.0,23056499752,28539686392,0.036000000000000004,78200.0,9170.0
781308,2874674234416.0,740420056642.0,99.215,1510252153291.0,1.4112422424526002e+37,-1.23,1.7619999999999998,0.8340000000000001,47.433,10345.0,9445.0,8495.0,8524.0,8133.0,12157.0,22868197051,28417610150,0.036000000000000004,77583.0,8789.0
729810,2874674234416.0,646826595912.0,99.215,1510252153291.0,1.4478010914239e+37,-1.317,1.6769999999999998,0.7609999999999999,47.223,10173.0,9336.0,8576.0,8588.0,8390.0,12077.0,22615537096,28275070511,0.036000000000000004,62204.0,8124.0
815887,2874674234416.0,646826595912.0,99.215,1510252153291.0,1.4873825883062e+37,-1.401,1.382,0.875,47.589,10010.0,9264.0,8815.0,8857.0,8551.0,12006.0,22427899506,28115098154,0.036000000000000004,71740.0,8327.0
640344,2874674234416.0,646826595912.0,99.215,1510252153291.0,1.4945807309323e+37,-1.483,1.693,0.7929999999999999,47.35,9930.0,9253.0,9327.0,9380.0,8776.0,11951.0,22241393326,27937560991,0.035,70395.0,8099.0
637546,2874674234416.0,646826595912.0,99.215,1510252153291.0,1.4835693736189e+37,-1.5619999999999998,1.217,0.955,47.873999999999995,9907.0,9261.0,9692.0,9817.0,9028.0,11901.0,21995935220,27828197346,0.035,59031.0,7696.0
680664,2874674234416.0,646826595912.0,99.215,1510252153291.0,1.506985222978e+37,-1.64,1.103,0.88,47.653,9878.0,9313.0,10202.0,10349.0,9316.0,11864.0,21859085511,27530005460,0.034,90816.0,8360.0
631438,2874674234416.0,646826595912.0,99.215,1510252153291.0,1.5104922319462e+37,-1.716,1.077,1.012,48.082,9852.0,9371.0,10487.0,10633.0,9679.0,11829.0,21766214609,27345383843,0.034,110670.0,8641.0
688075,2874674234416.0,646826595912.0,99.215,1510252153291.0,1.5384763070279e+37,-1.791,0.785,0.986,48.004,9797.0,9438.0,10695.0,10827.0,9999.0,11795.0,21716129219,27231619820,0.034,104096.0,9002.0
610136,2967853337745.0,740005699241.0,99.34100000000001,1603431256620.0,1.5338720338291e+37,-1.865,0.529,0.993,48.025,9783.0,9551.0,11123.0,11205.0,10413.0,11775.0,21560302977,27074473635,0.033,73752.0,8809.0
