difficulty30rsi,difficulty90var,fee_to_reward90rsiUSD,hashrate30var,median_transaction_fee7rocUSD,mining_profitability,price30smaUSD,price3wmaUSD,price7wmaUSD,sentinusd90emaUSD,size90trx,top100cap,transactionvalueUSD,priceUSD
94.616,3.7039756411801e+20,51.388999999999996,6.3317275163452e+33,1.725,1.141,419.289,427.889,426.908,1520719457,0.17,19.08,7681.0,457.376
94.616,3.3787771678614e+20,50.387,6.5125706840295e+33,4.7219999999999995,1.17,421.72900000000004,438.58099999999996,433.72,1543221628,0.16699999999999998,19.069000000000003,10483.0,444.29
94.616,3.2493049557467e+20,50.598,6.371107468218201e+33,4.456,1.2770000000000001,422.67800000000005,443.236,437.23699999999997,1561070834,0.165,19.017,11172.0,449.25699999999995
94.616,3.1092963831277e+20,49.619,6.3947938515402e+33,3.75,1.2229999999999999,423.67900000000003,445.287,440.16900000000004,1560299976,0.16399999999999998,19.018,8245.0,451.82800000000003
94.616,2.9587514500043e+20,49.933,6.2972251607999e+33,5.792000000000001,1.2229999999999999,424.921,449.165,444.215,1548096421,0.163,18.991,5491.0,449.954
94.616,2.8272656754703e+20,51.178000000000004,6.886887561214201e+33,7.035,1.291,426.292,453.865,448.56800000000004,1541376280,0.162,18.865,5714.0,446.236
94.616,2.7176533017017e+20,67.4,6.852976156557401e+33,8.022,1.5130000000000001,427.74699999999996,459.44699999999995,453.281,1535656525,0.161,18.874000000000002,5112.0,446.352
94.616,2.5995489966816e+20,50.568000000000005,6.707022664721899e+33,5.074,1.179,428.923,459.955,455.666,1526926580,0.16,18.847,4757.0,446.98800000000006
94.54,2.4729007758002e+20,50.64,6.699128797617999e+33,0.243,1.297,429.801,452.23400000000004,453.655,1519660276,0.16,18.788,4840.0,446.657
94.495,2.33773553415e+20,50.262,6.712319255611e+33,0.8490000000000001,1.389,431.014,449.17699999999996,452.847,1511128222,0.159,18.773,4323.0,451.464
94.495,2.0419458052325e+20,49.576,5.2306282578998e+33,-0.586,1.291,433.402,450.462,451.565,1482398413,0.158,18.712,4412.0,457.595
94.495,1.7122104154921e+20,50.129,4.8934600436075003e+33,-3.6180000000000003,1.228,435.285,446.914,448.358,1463692432,0.157,18.662,4303.0,454.74800000000005
94.495,1.5346130978134e+20,50.019,5.3877481152949e+33,-2.556,1.319,436.23199999999997,446.651,447.725,1453848165,0.156,19.206,4400.0,452.584
94.495,1.348529364929e+20,50.042,5.6725107860899e+33,0.5329999999999999,1.252,437.088,446.716,447.42900000000003,1443077270,0.156,19.061,4219.0,451.025
94.495,1.1539592168389e+20,49.96,6.0350442780472e+33,0.491,1.3019999999999998,438.094,449.115,448.249,1434353248,0.155,18.887,4488.0,454.24699999999996
94.495,1.109105515459e+20,49.775,5.7429421762402e+33,1.3630000000000002,1.285,439.36,453.925,450.62199999999996,1421852527,0.154,18.643,4287.0,455.025
94.495,1.0796620027842e+20,49.435,5.671077071828e+33,1.6980000000000002,1.345,440.603,456.704,452.67699999999996,1406891712,0.152,18.639,3924.0,455.975
94.495,1.0472723031526e+20,49.67100000000001,7.3634737574721e+33,2.659,1.268,441.975,457.914,454.585,1396691658,0.151,18.702,4223.0,455.809
94.495,1.0119364165641e+20,50.203,7.371409036991901e+33,1.881,1.266,443.17,456.34,455.231,1388062506,0.149,18.654,4089.0,453.459
97.52,1.0208910073556e+20,50.518,7.4645196001865e+33,1.252,1.094,444.254,454.225,455.036,1382490999,0.14800000000000002,18.561,4843.0,453.949
97.899,1.0454990657587e+20,50.449,7.299622766922599e+33,0.978,1.213,445.163,452.165,454.25199999999995,1374825738,0.147,18.569000000000003,4529.0,449.494
97.899,1.0639000713456e+20,50.262,7.587512839464501e+33,0.616,1.218,446.184,452.895,454.11699999999996,1370306975,0.146,18.558,5040.0,441.529
97.899,1.082080924071e+20,50.382,7.776470539346901e+33,-0.354,1.1340000000000001,448.227,455.37,454.381,1349823969,0.14300000000000002,18.514,4649.0,441.26800000000003
97.899,1.0754335655318e+20,51.063,7.7525964700618e+33,8.302,1.133,449.95099999999996,454.661,454.515,1344363207,0.142,18.455,5134.0,445.089
97.899,1.0627993070379e+20,50.785,7.5533059720382e+33,8.827,1.29,450.838,454.096,454.49800000000005,1337228561,0.142,18.462,4341.0,448.097
97.899,1.0876704516347e+20,51.4,7.6488085445181e+33,15.138,1.079,451.531,451.64,453.31800000000004,1332945671,0.142,18.398,5228.0,450.845
98.406,1.6831332242566e+20,50.831,1.1001911082219e+34,33.924,1.4569999999999999,457.75800000000004,523.508,497.605,1321575748,0.141,19.673,5666.0,580.536
98.406,1.7312226771575e+20,50.912,1.0905512496648e+34,32.365,1.215,460.60699999999997,532.481,511.154,1322633989,0.141,19.81,6367.0,579.599
98.406,1.8548229591252e+20,50.722,1.1892953180292e+34,-7.591,1.2819999999999998,474.06300000000005,558.6709999999999,546.6659999999999,1303796733,0.142,19.594,4332.0,579.549
98.406,1.8673298756774e+20,49.64,1.1894747330526001e+34,-4.97,1.7309999999999999,478.144,569.32,555.104,1298194463,0.142,19.537,5531.0,638.456
78.63600000000001,1.6765727032975e+20,51.986000000000004,1.3339575401995e+34,97.391,1.949,531.554,684.433,655.038,1321252062,0.141,19.289,6113.0,649.939
78.63600000000001,1.6426864752048e+20,51.817,1.3274366006198002e+34,93.58200000000001,1.944,550.634,731.186,703.485,1353288213,0.142,19.12,8138.0,652.469
78.63600000000001,1.6120896568577e+20,50.324,1.4870776563605e+34,113.321,1.94,570.982,750.173,733.312,1365254916,0.14300000000000002,19.04,6932.0,640.632
78.63600000000001,1.5933312695737e+20,51.247,1.5606918734323e+34,82.81700000000001,1.8619999999999999,581.169,749.6339999999999,740.3510000000001,1378688305,0.14300000000000002,19.077,7932.0,637.878
89.211,1.6111491954743e+20,51.603,1.4756894482963e+34,-6.371,1.6580000000000001,589.192,715.75,728.785,1391040159,0.14300000000000002,19.169,7825.0,647.563
