difficulty,difficulty30mom,median_transaction_fee14trxUSD,median_transaction_fee3rocUSD,median_transaction_fee3rsiUSD,median_transaction_feeUSD,mediantransactionvalueUSD,mining_profitability7mom,price3wmaUSD,transactionvalue90smaUSD,priceUSD
65750060.0,34493099.0,0.564,5.742999999999999,94.35799999999999,0.0559,73.413,-169.197,110.11200000000001,1542.0,111.875
65750060.0,34493099.0,0.61,7.077999999999999,96.971,0.0576,48.418,-50.403999999999996,113.04700000000001,1542.0,115.28
65750060.0,34493099.0,0.659,6.523,97.25399999999999,0.0579,39.733000000000004,-256.796,114.965,1582.0,115.785
65750060.0,34493099.0,0.71,5.785,98.395,0.0592,61.477,-21.416999999999998,116.98200000000001,1587.0,118.34700000000001
65750060.0,34493099.0,0.768,5.8870000000000005,99.15700000000001,0.061,71.212,88.54899999999999,119.779,1600.0,122.066
65750060.0,34493099.0,0.831,7.657,99.436,0.0623,42.218,127.37100000000001,122.73899999999999,1605.0,124.65100000000001
65750060.0,31605662.0,0.893,6.117999999999999,99.522,0.0628,51.916000000000004,75.365,124.689,1612.0,125.588
65750060.0,28357294.0,0.9470000000000001,2.291,84.539,0.0624,64.635,90.87100000000001,125.069,1621.0,124.863
81734746.0,44341980.0,0.981,-3.1319999999999997,37.059,0.0604,69.958,-316.617,122.925,1626.0,120.74700000000001
86933018.0,49540252.0,0.988,-6.564,21.846999999999998,0.0587,30.521,-159.172,119.73100000000001,1629.0,117.345
86933018.0,49540252.0,0.971,-7.859,15.437000000000001,0.0575,39.359,-268.455,116.764,1633.0,115.05
86933018.0,49540252.0,0.937,-4.74,15.357000000000001,0.0575,27.609,-413.894,115.419,1631.0,115.023
86933018.0,49540252.0,0.895,-0.623,41.832,0.0583,22.763,-227.918,115.822,1630.0,116.613
86933018.0,49540252.0,0.85,2.428,57.326,0.0589,23.557,-179.76,116.963,1639.0,117.844
86933018.0,49540252.0,0.809,4.293,74.711,0.06,36.006,-275.681,118.697,1640.0,119.961
86933018.0,49540252.0,0.774,4.39,83.26899999999999,0.0609,69.232,77.992,120.494,1646.0,121.73299999999999
86933018.0,47120689.0,0.747,4.944,89.23899999999999,0.0618,66.101,1.419,122.406,1648.0,123.67
86933018.0,36122679.0,0.725,3.426,90.31200000000001,0.062,94.04700000000001,34.022,123.54700000000001,1655.0,124.07
87168757.0,36358418.0,0.706,1.819,86.348,0.062,43.611000000000004,142.209,123.94200000000001,1660.0,123.947
112628549.0,61818210.0,0.6859999999999999,0.019,76.013,0.0618,18.542,-189.565,123.84,1657.0,123.693
112628549.0,61818210.0,0.6659999999999999,-0.218,77.693,0.0619,50.708,-262.966,123.789,1659.0,123.8
112628549.0,61818210.0,0.6459999999999999,0.245,84.564,0.0621,28.502,-54.13399999999999,124.007,1658.0,124.251
112628549.0,61818210.0,0.627,1.0859999999999999,91.44,0.0625,38.825,-126.721,124.568,1660.0,125.036
112628549.0,61818210.0,0.603,-1.028,29.156999999999996,0.0613,49.324,-168.701,123.65,1661.0,122.527
112628549.0,61818210.0,0.5720000000000001,-2.61,18.015,0.0605,60.492,-143.373,122.185,1667.0,121.008
112628549.0,61818210.0,0.537,-3.141,21.011,0.0606,40.586999999999996,-197.683,121.311,1668.0,121.10799999999999
112628549.0,61818210.0,0.5,-0.81,35.902,0.0608,32.574,47.218,121.304,1666.0,121.53399999999999
112628549.0,56511751.0,0.46299999999999997,0.23,30.818,0.0606,52.037,40.608000000000004,121.339,1670.0,121.286
112628549.0,46878489.0,0.42700000000000005,0.166,32.209,0.0607,61.577,-84.978,121.339,1675.0,121.31
125804757.0,60054696.0,0.39299999999999996,0.499,66.82300000000001,0.0611,69.683,-127.25299999999999,121.721,1683.0,122.14
148819200.0,83069140.0,0.36200000000000004,1.126,77.457,0.0613,60.266999999999996,-195.782,122.257,1687.0,122.652
148819200.0,83069140.0,0.33399999999999996,0.878,61.433,0.0612,100.59100000000001,-134.553,122.427,1693.0,122.374
148819200.0,83069140.0,0.31,0.868,79.957,0.0616,84.93,-98.065,122.833,1697.0,123.20100000000001
148819200.0,83069140.0,0.289,0.5489999999999999,81.91199999999999,0.0617,81.081,-143.486,123.125,1695.0,123.325
148819200.0,83069140.0,0.26899999999999996,0.552,61.871,0.0615,122.988,-119.546,123.167,1702.0,123.05
148819200.0,83069140.0,0.252,0.14,73.383,0.0617,87.90700000000001,-122.08200000000001,123.257,1707.0,123.374
148819200.0,83069140.0,0.215,-8.552999999999999,4.6339999999999995,0.0564,90.65299999999999,-71.043,118.021,1711.0,112.777
148819200.0,83069140.0,0.159,-11.821,2.958,0.0543,62.373000000000005,3.6239999999999997,112.40700000000001,1706.0,108.50399999999999
148819200.0,67084454.0,0.109,-5.14,53.407,0.0585,63.456,-55.093999999999994,113.48,1711.0,117.03200000000001
148819200.0,61886182.0,0.07,5.792999999999999,61.443000000000005,0.0597,47.235,9.07,116.75,1707.0,119.311
164129164.0,77196147.0,0.04,10.012,61.691,0.0597,43.062,-82.26100000000001,118.959,1703.0,119.368
189281249.0,102348232.0,0.019,2.883,67.411,0.0602,72.23100000000001,-103.214,119.87700000000001,1701.0,120.405
189281249.0,102348232.0,0.008,1.931,74.158,0.0608,57.924,-96.212,120.837,1699.0,121.615
189281249.0,102348232.0,0.005,2.9530000000000003,80.543,0.0614,64.812,-85.62700000000001,122.052,1702.0,122.89299999999999
189281249.0,102348232.0,0.01,2.573,83.469,0.0618,52.964,-16.528,122.985,1700.0,123.50299999999999
189281249.0,102348232.0,0.02,1.8230000000000002,85.259,0.0619,60.771,-48.902,123.565,1699.0,123.83200000000001
189281249.0,102348232.0,0.033,1.022,87.256,0.0621,40.459,-82.97,123.935,1702.0,124.149
189281249.0,102348232.0,0.054000000000000006,2.687,95.304,0.0634,46.181999999999995,8.879,125.432,1703.0,126.822
189281249.0,102112493.0,0.083,5.075,97.833,0.0651,52.044,47.472,128.024,1702.0,130.11700000000002
189281249.0,76652701.0,0.127,8.531,98.984,0.0674,76.598,40.519,131.879,1701.0,134.739
219914107.0,107285558.0,0.18,7.406000000000001,99.19,0.0681,103.37,-49.115,134.70600000000002,1708.0,136.214
267731249.0,155102701.0,0.24100000000000002,6.6,99.465,0.0694,76.211,-103.213,137.213,1716.0,138.704
267731249.0,155102701.0,0.2,-36.0,8.485,0.0431,57.345,-32.723,140.798,1728.0,143.72299999999998
267731249.0,155102701.0,0.228,12.972999999999999,66.95,0.0769,87.63799999999999,-62.996,147.968,1746.0,153.886
267731249.0,155102701.0,0.304,13.427999999999999,68.487,0.0787,59.531000000000006,-46.463,153.914,1750.0,157.329
267731249.0,155102701.0,0.42200000000000004,91.12,72.635,0.0824,84.02799999999999,-45.893,160.496,1758.0,164.81
267731249.0,155102701.0,0.588,17.175,80.581,0.0902,114.74700000000001,-12.952,171.31599999999997,1774.0,180.31599999999997
267731249.0,155102701.0,0.797,21.671999999999997,85.2,0.0957,134.917,86.296,183.287,1798.0,191.426
267731249.0,155102701.0,0.728,-75.99,14.498,0.0198,99.38799999999999,105.537,186.66400000000002,1811.0,185.605
267731249.0,141926493.0,0.478,-79.96300000000001,14.100999999999999,0.0181,71.904,28.498,178.507,1891.0,169.46900000000002
373329139.0,224509940.0,0.12300000000000001,-81.928,13.845999999999998,0.0173,49.297,-105.611,173.90900000000002,1903.0,172.97
390928788.0,242109588.0,-0.28300000000000003,-9.818999999999999,15.472000000000001,0.0178,53.511,-45.961000000000006,175.11599999999999,1908.0,178.428
390928788.0,242109588.0,-0.7,4.0889999999999995,19.484,0.0188,76.413,-81.154,182.325,1910.0,188.042
390928788.0,242109588.0,-1.1079999999999999,11.657,22.410999999999998,0.0193,88.82600000000001,-110.302,188.985,1964.0,193.13400000000001
390928788.0,242109588.0,-1.493,9.607000000000001,24.383000000000003,0.0196,120.40700000000001,-92.83,193.503,1973.0,195.57
390928788.0,242109588.0,-1.7719999999999998,108.177,81.404,0.0391,59.782,-90.014,195.24400000000003,1980.0,195.73
390928788.0,242109588.0,-2.044,2.452,38.437,0.0198,152.13299999999998,-55.857,196.773,1996.0,197.87
390928788.0,242109588.0,-2.301,2.061,38.87,0.02,102.678,45.786,198.378,2020.0,199.6
390928788.0,242109588.0,-2.537,-48.255,39.953,0.0203,120.251,15.353,200.792,2040.0,202.56
390928788.0,242109588.0,-2.7430000000000003,8.054,45.458,0.0214,197.269,39.152,207.69,2078.0,213.80599999999998
412308267.0,248179103.0,-2.9130000000000003,15.933,55.11600000000001,0.0231,231.38,30.793000000000003,220.73,2119.0,231.403
510929738.0,321648489.0,-3.042,22.573,64.23100000000001,0.0248,217.30700000000002,-19.557000000000002,236.91099999999997,2152.0,248.28400000000002
510929738.0,321648489.0,-3.122,28.165,75.575,0.0274,274.863,-8.347999999999999,258.341,2202.0,274.025
510929738.0,321648489.0,-3.1489999999999996,28.829,83.1,0.0298,308.815,22.908,281.78,2254.0,298.115
510929738.0,321648489.0,-3.115,34.919000000000004,90.101,0.0335,345.162,118.65899999999999,312.534,2304.0,334.983
510929738.0,321648489.0,-3.055,6.52,52.193999999999996,0.0292,127.081,53.788999999999994,307.293,2332.0,291.892
510929738.0,321648489.0,-2.9610000000000003,5.332000000000001,63.891000000000005,0.0314,100.38600000000001,36.021,310.133,2352.0,314.01
510929738.0,321648489.0,-2.83,0.49200000000000005,73.745,0.0337,170.986,70.165,321.634,2396.0,336.63
510929738.0,321648489.0,-2.6519999999999997,26.428,83.45,0.0369,168.37,70.79899999999999,349.06199999999995,2462.0,369.033
510929738.0,321648489.0,-2.424,27.701,89.301,0.0401,200.457,168.835,379.61300000000006,2520.0,400.994
510929738.0,291015632.0,-2.157,22.316999999999997,90.92200000000001,0.0412,210.59400000000002,116.62299999999999,401.048,2695.0,411.755
