activeaddresses30trx,activeaddresses7ema,activeaddresses90std,confirmationtime,confirmationtime3wma,confirmationtime7sma,confirmationtime7wma,confirmationtime90ema,difficulty,fee_to_reward7trxUSD,fee_to_rewardUSD,hashrate30mom,hashrate30std,hashrate30var,hashrate3var,hashrate7std,hashrate90roc,hashrate90rsi,median_transaction_fee30rocUSD,median_transaction_fee3trxUSD,mediantransactionvalue30emaUSD,mediantransactionvalue30wmaUSD,mediantransactionvalue3rocUSD,mediantransactionvalue7rocUSD,mediantransactionvalue7rsiUSD,mediantransactionvalue90trxUSD,mediantransactionvalueUSD,mining_profitability,mining_profitability3sma,price30smaUSD,price3rsiUSD,price7momUSD,sentbyaddress7var,sentinusd90varUSD,sentinusd90wmaUSD,sentinusdUSD,size30rsi,size90mom,size90sma,transactionfeesUSD,transactions3std,category
0.5379999999999999,74692.0,18183.0,7.273,7.864,8.684,8.282,8.93,6695826.0,1.014,0.867,33289359261546.0,19252887180085.0,9.2668416192271e+25,2.079767657662e+25,11901094115686.0,169.207,59.085,185.993,3.721,44.501999999999995,48.928000000000004,0.504,35.164,60.871,0.207,64.987,7220.0,6932.0,56.481,99.456,25.57,30129504.0,1972498548856190.0,73371893,136779480.0,48.67100000000001,50223.0,154528.0,0.0777,12463.0,1
0.569,78988.0,19348.0,7.956,7.822,8.459,8.099,8.908999999999999,6695826.0,0.73,1.338,28898599580993.0,19640918710600.0,9.644142194909899e+25,2.0713086749713e+25,11887441553889.0,171.197,58.01,231.96400000000003,5.183,47.757,52.383,104.119,39.571,75.133,0.23,94.955,7990.0,7394.0,58.99100000000001,99.811,36.045,45880948.0,2512206975337500.0,78292153,278422775.0,52.003,61367.0,155210.0,0.105,15762.0,1
0.611,86026.0,21903.0,8.229,7.978,8.064,8.042,8.894,6695826.0,1.028,1.5959999999999999,22644792950968.0,20044305085355.0,1.004435415887e+26,4.8025113912307e+24,7672492273609.0,154.039,57.553999999999995,79.898,6.968,51.291000000000004,56.153999999999996,100.771,63.35,77.547,0.256,102.53299999999999,8852.0,8021.0,61.879,99.902,40.765,78761044.0,3061579276452069.0,83274140,284039909.0,52.771,76185.0,156056.0,0.133,10252.0,1
0.6629999999999999,91742.0,24213.0,9.351,8.744,8.275,8.363999999999999,8.904,6695826.0,1.9509999999999998,1.9480000000000002,20952983860921.0,19731382020831.0,9.7331859112988e+25,7.8518520648237e+24,7013418016731.0,144.48,56.138999999999996,237.355,7.181,55.938,61.086000000000006,89.75200000000001,105.81200000000001,82.868,0.285,123.314,8777.0,8540.0,64.777,99.919,37.81,113610711.0,3594358184437960.0,88165336,282809750.0,55.88399999999999,79757.0,156943.0,0.141,3166.0,1
0.716,93815.0,25666.0,9.113999999999999,9.045,8.395,8.573,8.908999999999999,7005058.0,2.262,1.432,18052965546765.0,19126208338407.0,9.1452961351038e+25,1.2046170075955e+25,8735347100869.0,129.366,55.18899999999999,229.99200000000002,6.652,60.405,65.935,31.834,93.598,83.28399999999999,0.317,125.18299999999999,9950.0,9193.0,67.766,99.941,42.073,131550831.0,4025910039371692.0,92600382,264855827.0,52.846000000000004,71827.0,157741.0,0.12,4514.0,1
0.762,91133.0,25872.0,8.834,9.014,8.468,8.683,8.907,7673000.0,1.6280000000000001,0.9470000000000001,29481914738664.0,18840725883715.0,8.874323795631701e+25,1.7242688745382e+25,9094706513828.0,197.729,57.303999999999995,235.372,5.981,62.325,68.313,-12.062000000000001,93.822,54.42,0.35,90.165,8923.0,9217.0,70.904,99.959,46.659,130868664.0,4134147712896400.0,95074334,178261986.0,50.032,57958.0,158385.0,0.10099999999999999,12549.0,1
0.8029999999999999,90124.0,26457.0,8.78,8.854,8.505,8.761000000000001,8.904,7673000.0,1.1420000000000001,1.3019999999999998,27921624910729.0,18707180146223.0,8.7489647255807e+25,2.4413818826086e+25,8740512343785.0,175.56900000000002,57.483000000000004,244.10299999999998,5.654,62.452,68.883,-47.861000000000004,25.896,41.903,0.38299999999999995,64.295,9411.0,9428.0,74.263,99.975,53.03,81653664.0,4189924253778543.0,96980016,154226371.0,53.815,100010.0,159496.0,0.121,10279.0,1
0.852,96066.0,28724.0,9.29,9.044,8.793,8.957,8.913,7673000.0,0.631,1.183,27667086857724.0,18541883113718.0,8.5950357350694e+25,3.8832444820572e+23,8053492716857.0,156.27100000000002,57.613,278.959,6.915,66.85,73.653,4.341,100.99,65.581,0.418,130.618,10124.0,9486.0,78.277,99.99,68.845,60182236.0,4527514247110103.0,100944917,249416807.0,52.905,45815.0,160005.0,0.12300000000000001,10384.0,1
0.904,100069.0,30637.0,8.182,8.651,8.826,8.805,8.897,7673000.0,0.095,1.11,26026202102526.0,18701125323864.0,8.743302209472e+25,1.0316651638085e+24,8861372838837.0,207.66299999999998,57.971000000000004,119.95200000000001,9.62,74.998,82.23100000000001,114.211,103.405,76.234,0.45899999999999996,193.144,13352.0,10963.0,83.309,99.99600000000001,87.647,75409637.0,5723343167897318.0,108285765,405474208.0,51.504,30792.0,160347.0,0.14400000000000002,4373.0,0
0.968,108415.0,34140.0,7.539,8.045,8.727,8.482999999999999,8.867,7673000.0,-0.095,1.34,31436013998035.0,19206820698080.0,9.2225490332046e+25,8.456090013351299e+24,11374186667831.0,203.899,58.985,97.805,7.834,92.04,99.86,427.49,230.769,87.10600000000001,0.514,339.149,12305.0,11927.0,87.755,68.465,58.497,118804397.0,7784050314044818.0,117903029,513296957.0,50.57899999999999,4759.0,160400.0,0.18100000000000002,4333.0,0
