difficulty30ema,difficulty30rsi,difficulty30sma,difficulty30wma,difficulty3ema,difficulty3sma,difficulty3wma,difficulty7ema,difficulty7sma,difficulty7wma,difficulty90mom,difficulty90roc,fee_to_rewardUSD,hashrate7var,hashrate90var,median_transaction_fee30trxUSD,median_transaction_fee7trxUSD,median_transaction_feeUSD,mining_profitability,price90emaUSD,price90wmaUSD,sentinusd90smaUSD,size90trx,top100cap,transactions,transactionvalueUSD,priceUSD
6390392919.0,100.0,6367580589.0,6742754038.0,7501718778.0,7335457227.0,7505795474.0,7223391159.0,7131677468.0,7244595931.0,5807024266.0,264.69599999999997,0.37799999999999995,9.3609112228248e+30,1.658523042462e+32,-0.585,-0.49,0.0444,23.949,547.386,519.901,403092275,0.228,19.131,63501,3343.0,584.376
6494294804.0,100.0,6467380974.0,6848127686.0,7751295457.0,7676133722.0,7838502929.0,7417761403.0,7277681681.0,7461894598.0,5807024266.0,264.69599999999997,0.247,8.7806462401629e+30,1.6760648513131e+32,-0.579,-0.529,0.0454,33.477,545.3240000000001,517.312,401717678,0.226,19.153,59482,3336.0,574.994
6591493342.0,100.0,6567181359.0,6947062600.0,7876083796.0,8000872136.0,8000872136.0,7563539086.0,7423685893.0,7642692212.0,5807024266.0,264.69599999999997,0.295,1.7841305012918e+31,1.7482704527633e+32,-0.573,-0.537,0.0449,26.193,543.197,514.703,400882127,0.225,19.088,59820,4774.0,574.929
6682421006.0,100.0,6666981744.0,7039558779.0,7938477966.0,8000872136.0,8000872136.0,7672872349.0,7569690105.0,7786988772.0,5807024266.0,264.69599999999997,0.29,1.7821890273128e+31,1.7599325373494e+32,-0.5670000000000001,-0.551,0.0439,25.963,540.918,511.991,399155377,0.223,19.086,54015,4454.0,591.067
6767482369.0,100.0,6766782129.0,7125616224.0,7969675051.0,8000872136.0,8000872136.0,7754872295.0,7715694318.0,7894784280.0,5807024266.0,264.69599999999997,0.262,1.7004655110792e+31,1.7680488942598e+32,-0.562,-0.5760000000000001,0.0435,27.769000000000002,538.58,509.26599999999996,396939584,0.221,19.094,51618,3529.0,590.42
6847055903.0,100.0,6848143222.0,7205234934.0,7985273594.0,8000872136.0,8000872136.0,7816372256.0,7861698530.0,7966078734.0,5807024266.0,264.69599999999997,0.43200000000000005,2.2716302633352e+31,1.7414586763673e+32,-0.557,-0.601,0.0432,25.148000000000003,536.231,506.57300000000004,392883789,0.22,19.107,67638,4084.0,583.32
6921495660.0,100.0,6910848090.0,7279604541.0,7993072865.0,8000872136.0,8000872136.0,7862497226.0,8000872136.0,8000872136.0,5532166463.0,224.092,0.309,2.0084758416704e+31,1.769315890449e+32,-0.5529999999999999,-0.63,0.0427,32.203,533.8380000000001,503.87699999999995,389046130,0.218,19.113,77034,3738.0,585.95
6991132852.0,100.0,6973552958.0,7349928673.0,7996972500.0,8000872136.0,8000872136.0,7897090953.0,8000872136.0,8000872136.0,5379467683.0,205.213,0.34,3.175169158017e+31,1.8337134004464e+32,-0.5489999999999999,-0.619,0.0435,24.362,531.67,501.45300000000003,387343789,0.217,19.102999999999998,69666,5144.0,582.376
7056277322.0,100.0,7036257826.0,7416207330.0,7998922318.0,8000872136.0,8000872136.0,7923036249.0,8000872136.0,8000872136.0,5379467683.0,205.213,0.325,3.0552457484229e+31,1.8516372746481e+32,-0.544,-0.565,0.0441,28.805999999999997,529.672,499.24,386870021,0.21600000000000003,19.141,68770,8450.0,581.009
7117218922.0,100.0,7098962695.0,7478440511.0,7999897227.0,8000872136.0,8000872136.0,7942495221.0,8000872136.0,8000872136.0,5379467683.0,205.213,0.366,2.7137861498816e+31,1.8811427529641e+32,-0.539,-0.48100000000000004,0.0444,28.392,527.786,497.166,388488463,0.214,19.13,66123,8264.0,583.85
