activeaddresses,confirmationtime,difficulty30mom,difficulty3var,difficulty7mom,difficulty90var,difficulty90wma,fee_to_reward30stdUSD,fee_to_rewardUSD,hashrate3std,median_transaction_fee3trxUSD,median_transaction_feeUSD,mediantransactionvalueUSD,mining_profitability,mining_profitability90trx,price30emaUSD,price30smaUSD,price30varUSD,price30wmaUSD,price3emaUSD,price3momUSD,price3rocUSD,price3rsiUSD,price3wmaUSD,price7emaUSD,price7rocUSD,price7rsiUSD,price7smaUSD,price90smaUSD,top100cap,top100cap30roc,top100cap30rsi,top100cap30trx,top100cap7trx,top100cap90mom,top100cap90roc,top100cap90rsi,transactions,transactionvalueUSD,category
252278,10.286,5078720906.0,3145728.0,2014442632.0,8.43704671460498e+18,54833975818.0,0.28800000000000003,0.69,1.60301349504815e+16,1.21,0.0232,110.16,1.8840000000000001,-0.262,235.037,231.997,23.678,232.47799999999998,231.014,4.223,1.8519999999999999,72.44,231.03599999999997,230.83,0.6729999999999999,53.253,230.703,256.482,20.387999999999998,-2.056,49.443999999999996,0.07,-0.073,-0.444,-2.131,50.093999999999994,125227,2249.0,1
261082,8.78,5078720906.0,3670016.0,0.0,8.697890461402e+18,54967872778.0,0.287,0.6579999999999999,2.11981751844266e+16,1.099,0.0235,106.67,2.115,-0.262,235.053,232.332,22.41,232.69099999999997,233.15400000000002,6.605,2.888,85.62700000000001,233.46099999999998,231.946,0.966,63.419,231.024,256.35900000000004,20.373,-2.011,49.315,0.066,-0.077,-0.47200000000000003,-2.262,50.062,128002,2501.0,1
279719,9.796,5078720906.0,3145728.0,0.0,8.91843170730246e+18,55099414924.0,0.287,0.6759999999999999,3.12461406391293e+16,0.855,0.0234,74.749,1.835,-0.261,234.989,232.613,20.929000000000002,232.80200000000002,233.602,3.647,1.5830000000000002,66.26899999999999,234.16299999999998,232.472,1.063,57.483000000000004,231.37599999999998,256.185,20.366,-2.134,49.255,0.062,-0.08,-0.495,-2.374,50.048,115475,2066.0,1
277147,9.664,5078720906.0,2621440.0,0.0,9.10692841798972e+18,55228552971.0,0.29,0.588,3.58936963709767e+16,0.575,0.0233,76.111,2.0380000000000003,-0.261,234.887,232.804,20.104,232.85299999999998,233.50599999999997,1.171,0.504,56.403,233.937,232.707,1.069,54.418,231.729,255.968,20.362000000000002,-1.815,49.216,0.057999999999999996,-0.08199999999999999,-0.44799999999999995,-2.151,50.038000000000004,108600,1622.0,1
265014,10.07,5078720906.0,3145728.0,0.0,9.2710618768013e+18,55355265295.0,0.281,0.731,5.32579302086159e+16,0.56,0.0237,118.08200000000001,2.093,-0.26,235.03099999999998,233.037,20.432000000000002,233.132,235.31599999999997,1.831,0.778,80.99,235.37400000000002,233.81099999999998,3.995,66.491,233.03,255.685,20.355,-1.768,49.153,0.055,-0.08199999999999999,-0.444,-2.134,50.023999999999994,138427,2562.0,1
306444,8.276,5078720906.0,3145728.0,0.0,9.4108320837345e+18,55479551896.0,0.272,0.626,6.7938800040325e+16,0.557,0.0238,125.514,2.133,-0.259,235.21900000000002,233.313,20.775,233.44799999999998,236.62599999999998,3.886,1.66,83.956,236.912,234.843,4.044,68.61,234.351,255.43900000000002,20.393,-1.5490000000000002,49.525,0.051,-0.077,-0.424,-2.037,50.106,140490,2926.0,1
291756,9.73,5078720906.0,3145728.0,0.0,9.5262390387925e+18,55601412774.0,0.272,0.72,7.13351178026577e+16,0.429,0.0237,109.67,1.847,-0.259,235.325,233.582,20.442,233.678,236.74599999999998,3.457,1.4809999999999999,64.154,237.266,235.34900000000002,2.805,62.525,235.275,255.209,20.447,-1.604,50.078,0.048,-0.065,-0.39,-1.869,50.228,139700,2404.0,1
255850,9.664,5743267738.0,9.81383315508429e+16,664546832.0,9.7007573647905e+18,55735453353.0,0.27,0.769,3.17138348729431e+16,0.298,0.0237,127.82799999999999,1.973,-0.259,235.426,233.872,19.758,233.892,236.822,-0.22699999999999998,-0.096,64.53399999999999,237.06099999999998,235.736,2.0069999999999997,62.641999999999996,235.94,254.99599999999998,20.437,-1.597,49.981,0.044000000000000004,-0.052000000000000005,-0.34299999999999997,-1.649,50.207,134178,2779.0,1
270433,10.435,6556593712.0,3.65247740076098e+17,1477872806.0,9.9607853282964e+18,55884781223.0,0.158,0.746,6.77399772649471e+16,0.239,0.0238,112.46700000000001,2.084,-0.258,235.575,234.196,19.005,234.14,237.274,-0.21100000000000002,-0.08900000000000001,74.773,237.30700000000002,236.234,1.033,65.821,236.28799999999998,254.773,20.368,-1.932,49.244,0.040999999999999995,-0.046,-0.42,-2.019,50.047,139608,2925.0,1
230497,9.931000000000001,6556593712.0,1.46999808720634e+17,1477872806.0,1.0188661268762e+19,56031322473.0,0.163,0.595,4.70396380134469e+16,0.223,0.0238,78.666,1.973,-0.258,235.75599999999997,234.555,18.016,234.41,237.828,1.515,0.64,81.209,237.916,236.771,1.85,68.31,236.90599999999998,254.483,20.229,-2.66,47.784,0.038,-0.052000000000000005,-0.551,-2.653,49.727,119422,1995.0,1
279852,9.412,4877114491.0,3670016.0,1477872806.0,1.0384385186188e+19,56175077103.0,0.17800000000000002,0.504,5.78100667555724e+16,0.214,0.0239,80.727,1.9680000000000002,-0.257,235.952,234.88,17.502,234.68400000000003,238.31099999999998,1.895,0.8,84.859,238.47799999999998,237.27599999999998,2.307,69.92,237.675,254.115,20.221,-2.592,47.698,0.034,-0.063,-0.612,-2.9360000000000004,49.707,103378,2023.0,1
261212,9.412,3855575584.0,3145728.0,1477872806.0,1.0547957080574e+19,56316045113.0,0.18100000000000002,0.607,2.21121650225467e+16,0.18,0.0239,102.943,1.9969999999999999,-0.257,236.13099999999997,235.106,17.655,234.93200000000002,238.517,0.997,0.42,80.86399999999999,238.69,237.638,0.674,69.22399999999999,237.90400000000002,253.793,20.215999999999998,-2.609,47.644,0.031,-0.07400000000000001,-0.63,-3.02,49.696000000000005,125395,2614.0,1
281952,10.141,3855575584.0,3145728.0,1477872806.0,1.0679376951921e+19,56454226503.0,0.177,0.722,1.77866981588838e+16,0.369,0.0243,123.10700000000001,1.953,-0.257,236.583,235.22,19.082,235.45,240.827,4.755,1.995,96.492,240.94099999999997,239.013,2.185,82.234,238.64700000000002,253.511,20.22,-2.455,47.699,0.027000000000000003,-0.081,-0.623,-2.988,49.707,144368,2935.0,1
272851,10.827,3855575584.0,4194304.0,1477872806.0,1.0778644800227e+19,56589621273.0,0.17600000000000002,0.746,3.69627901348762e+16,0.555,0.0245,110.704,1.9769999999999999,-0.256,237.143,235.378,21.479,236.09799999999998,243.044,6.468,2.7089999999999996,97.794,243.46400000000003,240.575,3.545,85.645,239.84599999999998,253.236,20.205,-2.358,47.521,0.024,-0.086,-0.611,-2.9339999999999997,49.67,134798,2693.0,1
279973,10.286,3855575584.0,3670016.0,813325974.0,1.0845760625493e+19,56722229422.0,0.177,0.763,2.76386260050176e+16,0.495,0.0244,101.67200000000001,2.064,-0.256,237.56599999999997,235.388,21.646,236.635,243.373,4.977,2.085,69.419,244.127,241.356,2.8710000000000004,73.54899999999999,240.81799999999998,252.81900000000002,20.265,-2.057,48.294,0.021,-0.083,-0.586,-2.81,49.815,140208,3501.0,1
227575,11.429,3855575584.0,2621440.0,0.0,1.0911173599833e+19,56852050952.0,0.177,0.7290000000000001,5290494162708928.0,0.369,0.0244,98.98100000000001,1.834,-0.256,237.957,235.493,23.041,237.166,243.50099999999998,0.493,0.203,68.046,243.925,241.925,2.483,72.992,241.66099999999997,252.28799999999998,20.256,-2.028,48.18600000000001,0.017,-0.077,-0.579,-2.779,49.794,114518,2911.0,1
298456,9.0,3855575584.0,2097152.0,0.0,1.1097327456804e+19,56979146640.0,0.17800000000000002,0.617,8180179800523330.0,0.3,0.0245,61.227,2.392,-0.255,238.38400000000001,235.695,25.443,237.752,244.04,-0.6829999999999999,-0.278,77.006,244.11599999999999,242.588,2.6,75.803,242.546,251.625,20.246,-1.7930000000000001,48.06399999999999,0.013999999999999999,-0.069,-0.539,-2.592,49.77,126845,2293.0,1
268328,9.863,3855575584.0,1048576.0,0.0,1.1260072326472e+19,57103864586.0,0.165,0.528,6.23728889553748e+16,0.299,0.0246,82.801,1.871,-0.255,238.863,235.891,28.221,238.405,244.925,2.11,0.866,85.118,245.037,243.394,2.9389999999999996,79.093,243.549,251.092,20.241,-1.8530000000000002,47.993,0.012,-0.062,-0.5870000000000001,-2.8169999999999997,49.757,104404,2283.0,1
281796,10.141,3855575584.0,1048576.0,0.0,1.139940820884e+19,57226204789.0,0.154,0.713,5.90610182388841e+16,0.311,0.0247,110.788,2.036,-0.254,239.365,236.175,31.826,239.09799999999998,245.782,3.009,1.235,89.01899999999999,246.019,244.205,3.315,81.105,244.679,250.607,20.186,-2.1180000000000003,47.269,0.009000000000000001,-0.059000000000000004,-0.62,-2.9819999999999998,49.62,134268,2573.0,1
