activeaddresses,activeaddresses30wma,activeaddresses7trx,confirmationtime,confirmationtime30sma,confirmationtime3ema,confirmationtime3wma,confirmationtime7wma,confirmationtime90ema,confirmationtime90wma,fee_to_reward3stdUSD,fee_to_reward7emaUSD,fee_to_reward7smaUSD,fee_to_rewardUSD,hashrate30mom,hashrate30trx,hashrate7std,median_transaction_feeUSD,mediantransactionvalue30emaUSD,mediantransactionvalue90trxUSD,mediantransactionvalueUSD,mining_profitability,price30rocUSD,price30rsiUSD,price3momUSD,price3rocUSD,price3rsiUSD,price3trxUSD,price7momUSD,price7rocUSD,price7rsiUSD,priceUSD,size3sma,size90mom,size90roc,size90sma,top100cap,top100cap90rsi,transactions,transactions3var,transactions7var,transactions90std,transactions90var,transactionvalueUSD,category
549499,523871.0,-0.282,9.796,9.726,9.802999999999999,9.892000000000001,9.521,9.562999999999999,9.579,0.642,1.173,1.115,1.374,5.77557005692909e+18,0.337,5.09286994721493e+18,0.149,386.705,-0.581,400.315,0.34299999999999997,24.123,57.576,-250.99599999999998,-3.068,27.53,-0.042,-139.322,-1.7269999999999999,56.78,7929.0,636482.0,64466.0,9.193999999999999,660881.0,18.969,51.805,242830,1069106118.0,779235541.0,47879.0,573088284,28411.0,0
574951,527270.0,-0.085,9.6,9.705,9.702,9.856,9.62,9.564,9.58,0.27699999999999997,1.16,1.103,1.123,6.12878031925935e+18,0.342,5.24853726874116e+18,0.139,389.13199999999995,-0.581,424.31199999999995,0.321,16.985,53.121,-625.88,-7.627000000000001,12.136,-0.88,-674.633,-8.173,40.448,7580.0,771622.0,88856.0,12.12,661868.0,18.938,51.446000000000005,240894,27866724.0,711330476.0,48297.0,583144407,28438.0,1
535229,528026.0,0.040999999999999995,9.412,9.605,9.557,9.539,9.619,9.56,9.576,0.21100000000000002,1.196,1.126,1.3019999999999998,1.2225750247283e+19,0.348,5.40404374885593e+18,0.141,388.62800000000004,-0.5820000000000001,381.32,0.324,14.877,53.315,-544.182,-6.684,15.797,-1.208,-601.577,-7.337000000000001,41.466,7598.0,742824.0,-181701.0,-22.089000000000002,659849.0,18.991,52.026,224720,65924275.0,692299511.0,48420.0,586132100,31073.0,0
585312,532072.0,0.264,8.675,9.536,9.116,9.075,9.41,9.541,9.557,0.177,1.1740000000000002,1.143,1.107,1.300612680664e+19,0.35700000000000004,5.53007691919203e+18,0.142,387.833,-0.5820000000000001,376.315,0.32799999999999996,12.305,50.968999999999994,-526.219,-6.6370000000000005,9.442,-1.474,-618.443,-7.71,34.134,7403.0,706300.0,44216.0,7.227,660341.0,19.055999999999997,52.733999999999995,229693,45754601.0,693834120.0,48850.0,596590320,31610.0,0
456131,527666.0,0.106,8.182,9.459,8.649,8.551,9.076,9.511000000000001,9.527000000000001,0.434,1.074,1.123,0.7759999999999999,1.5467883836909e+19,0.369,6.40509539432579e+18,0.0985,383.876,-0.5820000000000001,326.488,0.319,9.971,49.32899999999999,-319.28700000000003,-4.212,6.553999999999999,-1.655,-919.6139999999999,-11.242,29.665,7260.0,584471.0,-174098.0,-27.608,658406.0,19.048,52.637,191481,287746533.0,666392426.0,48533.0,588871363,36552.0,0
397829,519486.0,-0.36200000000000004,9.0,9.459,8.824,8.673,9.009,9.5,9.515,0.368,0.975,1.115,0.6779999999999999,9.5857646140205e+18,0.38299999999999995,6.90410387721283e+18,0.0792,379.615,-0.5820000000000001,317.837,0.284,6.691,46.588,-589.146,-7.754,3.6189999999999998,-1.9509999999999998,-1197.0,-14.587,23.358,7009.0,526720.0,-255990.0,-35.376999999999995,655562.0,19.043,52.585,172021,573878681.0,613936301.0,48849.0,596550410,41570.0,0
517813,519405.0,-0.528,10.992,9.517000000000001,9.908,9.86,9.421,9.532,9.547,0.336,1.0,1.062,1.073,4.77339739975819e+17,0.39399999999999996,5.61146371801133e+18,0.105,378.099,-0.5820000000000001,356.11800000000005,0.27,5.981,46.562,-396.583,-5.357,3.595,-1.895,-1136.0,-13.949000000000002,23.302,7006.0,581971.0,39686.0,5.074,656003.0,19.038,52.516000000000005,218476,362832072.0,590736223.0,48863.0,596895289,40339.0,0
589346,523673.0,-0.32,9.536,9.531,9.722000000000001,9.932,9.46,9.533,9.547,0.337,0.9940000000000001,1.005,0.977,8.01329522270454e+16,0.4,6.45474916019697e+18,0.0958,378.596,-0.5820000000000001,385.798,0.327,3.569,46.49,-260.737,-3.591,3.5039999999999996,-1.607,-929.355,-11.720999999999998,23.128,7000.0,702868.0,199124.0,32.113,658215.0,19.035,52.478,232894,674607542.0,529949397.0,49359.0,609079904,34157.0,0
532064,523824.0,-0.15,9.172,9.484,9.447000000000001,9.597000000000001,9.418,9.525,9.539,0.081,1.0070000000000001,0.9940000000000001,1.047,7.04624856129585e+18,0.40700000000000003,6.38431169342947e+18,0.0986,380.95599999999996,-0.581,415.181,0.276,-4.24,41.027,-555.144,-7.921,0.8390000000000001,-2.174,-1126.0,-14.857999999999999,13.405,6454.0,760599.0,22962.0,3.716,658470.0,19.073,52.912,235154,54571334.0,492731003.0,49896.0,622394472,36382.0,0
519217,523121.0,-0.057999999999999996,9.664,9.484,9.556000000000001,9.479,9.513,9.527999999999999,9.542,0.10300000000000001,1.031,0.966,1.103,6.21107963037584e+18,0.413,6.37943441780866e+18,0.14300000000000002,379.50699999999995,-0.581,358.50199999999995,0.265,-1.8030000000000002,40.528,-607.991,-8.677999999999999,0.752,-2.4290000000000003,-1200.0,-15.788,12.770999999999999,6398.0,702476.0,-190851.0,-22.767,656350.0,19.06,52.74,222177,32040469.0,486402358.0,50038.0,625944176,32143.0,1
559603,525112.0,0.10800000000000001,8.182,9.401,8.869,8.841000000000001,9.229,9.498,9.512,0.153,1.003,0.9390000000000001,0.92,9.4066296073691e+18,0.419,6.44234401094595e+18,0.1,379.13599999999997,-0.581,373.75199999999995,0.298,0.218,40.733000000000004,-586.234,-8.375,4.817,-2.213,-989.37,-13.365,14.075,6414.0,644274.0,122945.0,23.569000000000003,657716.0,19.048,52.593,225972,29679298.0,472005581.0,50202.0,630061740,27580.0,0
449075,519840.0,-0.055,8.471,9.343,8.67,8.573,9.035,9.476,9.488999999999999,0.313,0.932,0.9309999999999999,0.72,1.9022567175507e+19,0.43200000000000005,8.91081622603845e+18,0.0695,378.352,-0.581,366.976,0.23800000000000002,-0.91,38.751,-258.168,-4.0,2.5610000000000004,-2.178,-1065.0,-14.669,11.259,6195.0,596231.0,25213.0,5.348,657996.0,19.047,52.57899999999999,192268,227212214.0,467012243.0,49461.0,611605520,25729.0,1
399762,511729.0,-0.47700000000000004,9.29,9.317,8.98,8.832,9.036,9.471,9.485,0.225,0.863,0.9279999999999999,0.6559999999999999,1.3153035921564e+19,0.446,9.4595800407987e+18,0.0556,372.439,-0.58,286.703,0.237,0.953,40.41,-82.23899999999999,-1.285,29.834,-1.703,-692.6619999999999,-9.883,21.409000000000002,6316.0,538619.0,-250988.0,-34.592,655207.0,19.051,52.62,164889,624078016.0,559061910.0,49975.0,624383419,23148.0,1
490801,510092.0,-0.6659999999999999,9.6,9.276,9.29,9.309,9.103,9.474,9.487,0.34700000000000003,0.91,0.925,1.052,1.131145566634e+19,0.45799999999999996,8.84107028558605e+18,0.10099999999999999,371.272,-0.58,354.35400000000004,0.259,1.639,40.954,-57.772,-0.9009999999999999,38.346,-1.1179999999999999,-650.559,-9.285,24.712,6356.0,568967.0,94638.0,14.764000000000001,656259.0,19.055,52.677,222079,545444607.0,566166585.0,50097.0,627438805,26298.0,0
535762,511508.0,-0.581,10.588,9.267999999999999,9.939,10.043,9.468,9.499,9.511000000000001,0.718,1.0659999999999998,1.004,1.5330000000000001,1.0382999229323e+19,0.467,7.05578266324353e+18,0.139,373.274,-0.58,402.309,0.22699999999999998,-4.387,38.291,-131.826,-2.128,16.387,-1.234,-936.153,-13.374,18.156,6064.0,671146.0,301693.0,60.155,659611.0,19.098,53.18,247486,1193164018.0,672539883.0,51053.0,651600401,28656.0,1
475594,508771.0,-0.565,8.943999999999999,9.167,9.442,9.601,9.384,9.487,9.499,0.43700000000000006,1.072,1.01,1.09,1.2648971679471e+19,0.474,6.87292772396286e+18,0.114,371.444,-0.579,344.897,0.271,-2.4419999999999997,42.446000000000005,60.995,0.966,56.489,-0.623,-76.523,-1.186,38.561,6377.0,718435.0,-102709.0,-14.282,658470.0,18.999000000000002,51.888999999999996,245905,135077054.0,746395303.0,51908.0,673610599,27275.0,0
547322,510678.0,-0.353,9.113999999999999,9.168,9.277999999999999,9.302999999999999,9.35,9.478,9.491,0.376,1.105,1.025,1.204,1.4829178835653e+19,0.48200000000000004,6.35314921181793e+18,0.14,368.89300000000003,-0.579,331.915,0.253,-7.803,42.205,-4.309,-0.068,53.351000000000006,-0.191,-46.876999999999995,-0.733,37.665,6351.0,672870.0,-97149.0,-13.957,657390.0,19.173,53.873000000000005,232177,47258114.0,772706732.0,52276.0,683185590,24872.0,1
584759,515011.0,0.032,9.474,9.208,9.376,9.266,9.426,9.478,9.491,0.16699999999999998,1.1520000000000001,1.078,1.294,5.94865156974246e+18,0.49,6.22981538187571e+18,0.111,367.291,-0.578,344.056,0.254,-12.661,43.783,410.606,6.772,66.65899999999999,0.26899999999999996,60.688,0.946,44.828,6474.0,621188.0,169755.0,35.482,659277.0,19.18,53.956,233642,37887264.0,795885159.0,52371.0,685677528,23829.0,0
