activeaddresses,difficulty90mom,fee_to_rewardUSD,hashrate3mom,median_transaction_feeUSD,mining_profitability,price30emaUSD,price3wmaUSD,price7wmaUSD,price90emaUSD,transactionvalueUSD,priceUSD
549150,55059101839.0,4.323,1.85880199570478e+16,0.12300000000000001,0.706,696.24,739.059,725.247,652.2180000000001,4319.0,742.5219999999999
524407,64425434436.0,3.908,-1.34009153818277e+17,0.12300000000000001,0.684,699.556,745.092,732.765,654.315,3347.0,747.6460000000001
517241,64425434436.0,4.363,-2.47814514980217e+17,0.132,0.649,702.186,743.132,737.055,656.206,3574.0,740.325
548221,64425434436.0,5.182,-1.91011896604314e+17,0.147,0.73,704.2660000000001,738.5939999999999,738.2919999999999,657.925,4022.0,734.423
515430,64425434436.0,5.7170000000000005,-1.05656564302175e+17,0.153,0.6890000000000001,706.692,739.1289999999999,740.221,659.77,4444.0,741.868
572136,64425434436.0,5.6,1.66539466169742e+17,0.14800000000000002,0.696,708.9989999999999,740.916,741.154,661.587,4618.0,742.446
627191,64425434436.0,6.29,2.17789143967817e+17,0.153,0.775,710.9019999999999,740.373,740.355,663.2769999999999,4271.0,738.4910000000001
591485,64425434436.0,6.778,3.10323759553017e+17,0.147,0.674,712.455,737.3960000000001,738.825,664.8530000000001,3411.0,734.9830000000001
580075,64425434436.0,5.053999999999999,7.52790324285596e+16,0.147,0.688,713.8960000000001,735.4689999999999,737.515,666.39,3209.0,734.7860000000001
509057,63359125698.0,4.317,8.40776350697457e+16,0.147,0.643,715.105,733.7410000000001,736.125,667.846,2930.0,732.6310000000001
619715,61045008863.0,5.077,-8.85981762167048e+16,0.147,0.741,716.237,733.0039999999999,735.0169999999999,669.27,3714.0,732.658
569254,61045008863.0,5.149,-6283913948348672.0,0.146,0.67,717.278,732.5110000000001,733.9019999999999,670.6569999999999,3606.0,732.3739999999999
544081,61045008863.0,5.314,-8.26786996538985e+16,0.14800000000000002,0.6709999999999999,718.6,735.1139999999999,734.471,672.132,3442.0,737.7589999999999
542441,61045008863.0,5.331,2.99568154300951e+16,0.151,0.6659999999999999,720.47,741.7769999999999,737.666,673.79,4717.0,747.59
629587,65419631611.0,6.3229999999999995,-1.83187878816814e+17,0.158,0.747,723.5139999999999,755.985,745.552,675.8530000000001,4340.0,767.6569999999999
612406,66009858490.0,4.495,2.10698141728896e+17,0.153,0.757,726.1569999999999,762.7260000000001,751.4780000000001,677.801,3275.0,764.4830000000001
575641,66009858490.0,4.771,1.81684568067609e+17,0.153,0.633,728.6,764.7760000000001,756.225,679.696,2846.0,764.0110000000001
604251,66009858490.0,5.292999999999999,1.925716320337e+17,0.154,0.703,730.298,759.55,757.582,681.3489999999999,4671.0,754.931
671328,66009858490.0,5.992999999999999,-2.20687831073063e+17,0.156,0.735,731.937,756.83,758.336,682.9839999999999,3900.0,755.702
643398,66009858490.0,4.716,-6561080744358912.0,0.152,0.742,733.784,758.005,759.472,684.689,3795.0,760.565
578224,66009858490.0,4.677,2.65117571288517e+17,0.153,0.652,735.905,762.798,761.316,686.49,3862.0,766.6519999999999
539503,66009858490.0,5.401,-1.2932238321332e+16,0.154,0.672,738.007,766.558,762.939,688.2919999999999,4360.0,768.4939999999999
488574,66009858490.0,5.003,-4.44973202945913e+17,0.154,0.708,740.2,769.936,765.4069999999999,690.132,3609.0,771.9910000000001
495466,62178775340.0,3.179,-1.08477605379748e+17,0.14400000000000002,0.8009999999999999,741.948,769.065,766.435,691.828,3547.0,767.304
532703,60932894641.0,4.561,4.06367951875021e+17,0.147,0.647,744.04,771.618,769.112,693.6419999999999,4876.0,774.3710000000001
564772,60932894641.0,4.207,5.46895626916079e+17,0.156,0.74,746.2080000000001,774.831,771.914,695.488,4171.0,777.648
535625,60932894641.0,5.1770000000000005,-9.53900649956559e+16,0.155,0.642,748.177,776.635,773.699,697.273,4489.0,776.7139999999999
534271,82479401722.0,5.952999999999999,-4.33201700824236e+17,0.158,0.652,750.0169999999999,776.8660000000001,774.905,699.0189999999999,5623.0,776.7080000000001
558336,84320983524.0,5.547000000000001,-4.07378076291952e+17,0.16,0.674,751.8889999999999,777.872,776.334,700.778,5251.0,779.035
507908,84320983524.0,4.327,-2.3278248248367e+17,0.157,0.746,754.1310000000001,782.445,779.2860000000001,702.665,4368.0,786.632
